Income,Age,LoanAmount,CreditHistory,EmploymentStatus,Default
134752,42,21022,0,1,0
68984,41,5780,1,2,0
60774,26,19311,1,2,0
22568,21,29380,0,1,0
140151,25,45662,1,1,0
82592,61,3356,1,1,1
87563,32,5790,0,1,0
22695,46,27911,1,1,1
144375,54,25363,1,1,0
68190,34,21049,0,1,1
25258,46,11181,1,1,0
107538,47,40825,1,1,1
59504,29,17082,1,2,0
53159,46,1661,1,1,1
33986,42,38412,1,0,0
81858,50,49479,1,0,1
149312,63,3920,1,2,1
32666,37,26658,0,1,0
58660,46,49770,1,0,0
23561,56,15025,1,1,1
46854,21,9946,1,1,0
84505,28,29706,0,1,1
124488,55,46500,1,1,0
72251,35,40004,1,0,0
42662,42,17309,1,2,1
28392,34,47286,0,1,0
50535,46,34120,1,1,1
98603,48,31027,1,2,0
133569,43,8005,1,1,0
72256,34,47804,1,1,0
109135,44,1956,1,1,0
147478,22,35839,1,1,0
55222,46,9595,1,2,0
97373,34,48908,1,2,0
99575,27,13803,1,1,0
143684,23,26963,1,1,1
116354,43,37221,1,2,0
104651,63,40443,0,2,0
83335,38,34723,0,2,0
30965,58,40063,1,1,0
44538,55,49689,1,1,0
128066,35,16282,1,2,0
90592,45,5703,1,1,0
118018,57,7563,0,1,0
133252,48,26849,1,0,0
28110,30,32860,1,1,1
99309,59,32585,1,1,0
47266,37,23015,1,1,0
72992,59,13003,1,2,0
102948,42,44585,1,1,0
142073,46,27958,1,2,1
118806,64,27017,1,1,0
26910,45,12171,1,1,0
130989,37,46350,1,2,0
110982,33,13201,1,1,0
141626,40,30426,1,0,0
139176,45,18778,1,1,0
20206,24,46241,1,0,0
107054,30,43229,1,2,0
107897,23,22116,0,2,0
142409,61,49364,1,1,0
43419,38,34297,1,1,0
70636,56,20342,1,1,0
142546,42,28490,1,2,1
134238,54,20975,1,0,0
70015,28,27723,1,1,1
137478,60,24279,1,1,0
142096,64,13765,0,1,0
127059,39,47678,1,1,0
74268,62,12561,0,2,0
130687,61,42899,1,0,0
107939,57,1525,1,1,0
38141,26,23861,0,2,0
100356,46,34142,1,2,1
125878,54,27916,1,0,0
91910,26,45965,0,1,0
76044,57,5648,1,1,0
87214,53,36133,1,1,0
137930,42,31523,1,1,0
139324,41,30052,1,0,0
53827,26,35414,1,1,1
75820,26,33781,1,2,1
82623,24,5599,1,1,0
101734,50,36046,1,1,0
95450,31,48064,0,0,1
113426,50,36923,1,2,0
137845,51,42089,1,2,0
42299,44,4814,0,2,0
63585,29,46893,0,2,0
129225,23,36984,1,2,0
84044,51,27616,1,1,0
62557,60,3113,1,1,0
69080,57,44006,1,1,0
129556,56,14760,0,2,0
22693,44,22927,1,2,0
115003,51,21939,0,1,0
115259,26,33419,1,0,0
132235,22,13588,1,1,0
89163,40,37142,1,2,0
45939,48,40198,1,1,0
68925,31,45738,1,1,1
62941,24,34397,1,1,1
41834,35,17653,1,1,0
38047,26,11831,1,2,0
46105,50,6724,1,1,0
95766,58,12083,1,2,0
35707,22,46917,1,1,1
41976,35,20816,1,1,0
64262,31,43240,0,1,0
145117,28,7276,1,2,0
43776,46,49403,1,1,0
50080,64,39663,0,1,0
148376,25,14994,1,1,0
86842,26,24499,0,2,0
81373,46,24040,1,0,1
26776,24,44320,1,2,1
112787,39,17959,1,1,0
147948,40,7099,1,1,0
75016,53,43267,1,0,0
29474,40,20576,1,1,0
125830,32,36946,1,1,0
78053,21,7116,1,0,0
41959,46,16563,1,1,0
25530,34,27788,1,2,0
114856,58,27928,0,1,0
139101,57,37336,1,2,0
23748,31,10847,1,1,0
117504,56,27155,1,1,0
118098,33,15135,0,1,1
33545,63,18774,0,1,0
147659,23,2742,1,1,0
86199,53,19309,1,0,1
54766,26,1619,1,1,1
93530,30,18658,1,1,0
113557,25,35707,1,2,1
81087,43,21337,1,2,0
115839,30,17001,1,1,0
136183,64,1968,1,1,0
88840,22,48614,1,1,0
138451,33,26892,0,1,0
74384,60,26619,1,1,0
71005,22,1281,1,1,0
66576,40,28420,1,1,0
59353,21,16360,1,1,0
82003,57,40030,1,1,0
103211,29,2058,1,2,0
72733,37,21677,1,2,0
85318,29,11724,1,1,1
129953,31,29404,1,2,1
109474,35,38946,1,2,0
43664,44,40748,1,1,0
87172,58,30856,0,1,0
105616,55,10200,1,1,0
145879,50,34997,1,2,0
113264,51,26611,1,2,0
135386,25,42235,1,1,0
46736,64,36057,1,1,0
114209,34,2239,1,1,1
123041,31,39138,0,1,0
132859,29,49938,1,1,0
132181,54,1125,0,2,1
20854,32,46272,1,1,0
110084,55,24857,1,2,0
58623,55,16398,1,2,0
27392,21,7638,1,2,0
75680,60,7570,1,1,0
146354,42,4249,1,1,0
66717,49,10110,1,1,0
139937,28,41363,1,1,0
107092,31,14605,0,1,0
70859,61,13115,1,1,0
145657,57,40062,1,1,0
124095,34,23911,1,1,1
46309,50,39525,1,1,0
107455,55,33556,1,0,0
83734,41,13595,1,2,0
90467,57,2969,0,2,0
72662,25,44753,1,1,0
118506,39,18275,1,1,0
129751,34,5470,0,0,1
138906,46,11225,1,0,1
32688,24,43324,0,1,0
45342,45,42974,1,2,0
57157,62,43759,1,1,0
87863,45,24196,1,1,0
126308,38,41287,1,1,0
72083,60,14669,1,1,0
126081,28,38380,1,1,0
85733,59,46141,0,1,0
109045,60,49320,1,1,0
54698,34,48414,1,0,1
130078,52,39006,1,1,0
100623,58,16577,1,1,0
42671,53,23473,1,1,0
45184,43,29625,0,2,1
113384,35,16504,0,1,0
62107,53,25089,1,1,0
106202,45,37487,1,1,0
129893,37,1302,0,1,0
71663,53,32463,1,1,1
35708,22,45912,1,1,0
111906,34,30259,1,2,0
69811,60,43823,1,1,1
22811,60,38208,0,1,0
76250,59,31659,1,1,0
132547,26,36840,1,2,0
92082,26,32890,0,1,1
144249,23,14598,0,1,0
54754,27,48055,1,1,0
115742,28,47733,1,1,0
126642,62,20508,1,1,0
31411,35,43287,1,1,0
22911,49,14380,1,1,0
87270,53,27984,1,1,1
103763,50,45633,1,1,0
28680,59,9125,1,1,0
104896,47,37059,1,2,0
103879,56,5033,1,1,0
91295,49,38873,1,1,1
108614,58,18087,1,1,0
120689,53,41901,1,0,0
31111,57,6704,1,2,0
57504,47,8848,1,0,0
21802,53,22592,1,1,0
28155,24,46743,1,1,0
93656,42,7924,1,1,1
59384,22,28208,1,1,1
132561,30,20614,0,1,0
67254,25,1488,1,0,1
41918,30,40882,1,2,0
105981,53,26923,1,1,0
80713,58,49508,1,2,0
50306,33,36941,1,2,0
36646,51,30165,1,2,0
66843,56,2667,1,1,0
140975,44,27213,1,1,0
116601,35,5114,0,2,0
110735,49,37321,1,1,0
127512,28,8761,1,1,0
36371,25,32116,1,2,0
97371,49,34768,0,2,0
131472,24,49406,0,1,0
22049,32,26426,1,0,0
51616,22,18772,1,1,1
123727,47,39218,1,2,0
132893,51,4712,1,2,0
146603,56,2367,0,1,1
40932,56,41957,1,0,0
137796,46,42781,1,2,0
49855,63,27200,1,1,0
81434,47,4726,1,1,1
92694,25,24616,0,2,0
63016,40,28723,0,0,0
27400,31,38574,1,1,0
137858,30,35958,0,0,0
62642,60,10108,0,1,0
35151,58,13178,1,2,0
71407,26,36643,1,1,0
86690,28,32324,1,2,1
24499,43,39360,1,1,1
26295,46,18824,1,1,0
140885,63,46360,1,1,1
146071,32,9927,1,1,0
79040,46,29144,0,1,0
32183,33,32010,1,0,0
49299,60,23443,0,1,1
32874,38,15437,1,1,1
136336,45,45298,1,2,0
52711,53,40778,1,1,1
25539,60,12207,1,2,0
127941,63,26537,1,0,1
73351,32,36757,1,1,1
81267,64,13040,0,1,0
143133,56,42986,1,1,0
68354,24,23612,1,0,0
146063,25,29441,1,2,0
22557,57,7471,1,2,0
58360,28,36631,1,1,0
102018,62,44461,1,0,1
22200,48,27523,1,2,0
132476,51,32348,1,1,0
88497,29,2177,1,2,1
66975,49,5760,1,2,1
41357,34,33779,1,2,0
139121,60,22636,0,1,1
97505,61,17353,1,1,0
22869,42,12556,0,1,1
146114,31,28598,1,1,0
81135,43,12563,0,2,0
70108,21,47819,1,1,0
132296,57,44790,1,1,0
114179,41,9234,0,2,0
110272,46,26519,1,2,0
58467,56,27966,1,2,0
43328,43,17173,1,2,1
139181,21,27987,0,1,0
111412,60,14178,1,1,0
106831,35,40338,1,2,0
23987,41,25596,0,1,0
78871,29,34174,0,1,1
42399,29,42974,1,1,1
148391,30,5431,1,1,0
66214,46,28764,1,2,0
119522,61,22627,1,1,1
106416,55,40310,1,1,0
90271,45,9906,1,1,1
64064,46,37914,0,1,0
145615,31,45814,1,1,1
90091,58,46379,1,1,0
127450,22,14076,1,2,0
60818,27,38650,1,1,1
65525,38,47881,1,1,0
39830,47,47413,0,0,0
37429,54,7012,1,1,0
26893,47,8151,0,1,0
136381,37,29211,1,2,0
99909,63,28117,0,1,0
67333,64,37378,0,2,0
23436,44,43652,1,1,0
94290,45,7894,1,1,1
96213,27,14467,1,1,0
25895,26,32010,1,2,0
39738,44,43641,0,1,0
50746,53,13289,0,1,0
69377,49,45976,1,1,0
68404,63,44596,1,1,0
74045,42,24171,1,1,0
117888,46,35905,1,1,0
149307,48,21829,1,1,0
59790,41,35054,1,1,0
127455,27,49478,1,1,0
25600,37,45139,1,2,0
114660,40,49713,1,2,0
113179,61,30734,1,2,0
60764,40,8052,1,1,1
94543,42,4654,1,0,0
65714,48,24486,1,1,0
76835,60,19743,1,1,0
122946,27,49368,1,1,0
148191,21,25489,1,0,0
129616,52,9636,1,1,0
125983,33,7441,1,0,1
93744,50,25611,1,2,0
76491,43,43435,1,1,1
144123,39,13149,1,1,0
38589,52,35566,1,0,0
63484,50,43368,1,1,0
102989,49,22675,1,1,0
56212,49,6495,0,2,0
63525,50,43668,1,2,0
67202,36,14673,0,1,0
52635,60,12130,1,2,1
83208,39,23668,1,2,1
53828,38,16222,0,2,0
38711,21,24669,0,2,0
23420,34,35068,1,1,0
116752,22,24253,1,1,0
20301,48,10435,1,0,0
65236,50,29552,0,0,0
135294,58,38384,1,2,0
137858,24,17393,1,1,0
86235,21,11617,1,2,1
74240,28,39520,1,2,0
144019,49,10852,1,2,1
85726,59,32401,1,2,0
30492,23,7295,1,1,0
135668,52,36993,1,0,0
121279,30,35084,1,1,0
26102,30,46105,0,1,0
70336,39,40575,1,0,0
138015,54,37451,0,1,0
105314,53,8227,1,2,0
143007,43,32910,1,1,0
46641,48,37041,1,1,0
54584,52,24384,0,1,0
52745,27,1145,0,1,0
140542,49,38778,1,0,0
43093,28,17035,0,2,0
86105,21,4040,0,1,1
123746,23,43422,1,2,0
120199,44,27160,1,0,0
71885,43,18633,1,2,0
56631,28,30344,1,1,0
131217,57,18014,0,1,0
92991,23,15996,1,1,0
24014,53,42621,1,2,0
31093,48,12695,1,1,1
38070,28,3852,1,1,0
55777,54,17014,1,2,0
76958,55,28042,1,2,0
102074,52,34755,1,1,1
30729,44,41390,1,2,0
119713,34,24711,1,1,0
65017,52,27122,1,1,0
86320,63,10160,1,1,1
47751,36,28213,1,2,1
126400,24,40420,0,2,0
125864,57,8421,1,1,1
98069,41,22400,1,1,1
125647,34,34537,1,1,0
125510,51,18727,1,2,0
74748,38,47882,1,2,0
25801,27,5358,1,1,1
39190,30,29482,1,2,0
69689,27,33117,0,2,1
124290,53,24164,0,1,0
70993,43,32910,1,0,0
49592,41,33496,1,1,0
30647,39,45311,1,1,0
28716,39,30371,1,1,1
108891,56,39467,1,1,1
107545,49,18625,1,2,1
137638,38,34893,0,1,0
109912,22,11793,1,1,0
130627,21,32007,1,1,0
90316,25,26766,1,1,0
146995,40,40532,1,1,0
22368,31,13323,1,1,0
97575,62,46799,1,1,0
26655,22,47820,1,1,1
126477,23,46408,1,1,0
90031,43,8843,1,1,0
96429,32,15210,1,2,0
111083,40,17456,1,1,0
107922,25,32367,0,1,0
75766,57,11106,1,2,1
144046,58,38957,1,1,1
33403,50,3472,1,0,1
52097,29,7704,1,2,1
98657,54,4713,1,1,0
140607,64,6051,1,1,0
30966,55,11756,1,2,0
144862,42,3475,1,2,0
119157,64,37378,0,2,0
138834,44,5255,1,1,0
113848,37,15484,0,1,0
72921,30,35503,1,1,0
69726,50,9258,1,1,0
146141,43,41747,1,1,0
70300,52,36196,1,1,0
42677,37,46113,0,2,0
75609,37,41194,1,1,0
116825,34,9533,1,1,0
76661,29,33581,1,1,0
51024,60,6249,1,0,0
128211,22,20201,1,0,1
90313,45,10686,1,1,0
147813,59,47877,1,0,0
73006,29,33007,1,1,0
115285,42,1661,1,2,0
35338,63,45843,1,2,1
88027,24,31137,1,1,0
112772,46,48556,1,1,0
133632,49,43828,1,2,0
100135,54,49604,1,2,0
39508,43,11526,1,1,0
140379,57,4374,1,2,0
23051,31,26592,1,1,0
68747,26,29982,1,2,0
134692,38,1207,1,2,0
107142,41,36433,1,0,0
107235,62,24197,1,2,0
74021,56,34400,0,1,0
86412,61,4083,1,2,0
78335,58,30328,1,1,0
76179,54,47479,1,2,0
52093,37,43891,1,0,1
89678,57,21103,0,1,0
100738,45,40891,1,0,0
59734,58,11754,1,2,0
92615,32,35447,1,2,0
93523,43,16901,1,2,0
125103,62,34004,1,2,0
114476,42,8446,0,0,0
122769,41,38211,1,1,1
37019,47,49231,1,0,0
131721,51,30301,1,1,0
103613,26,27116,1,1,1
111794,47,42323,0,1,0
106672,60,19752,1,1,1
93847,54,33376,1,1,0
102750,32,17669,1,1,1
99634,27,33916,1,1,0
48251,30,14395,1,2,0
123481,37,21421,1,2,1
132566,46,27342,0,2,0
45945,41,5895,1,1,0
110852,48,12023,1,1,0
52217,22,11699,1,2,0
28308,63,10715,1,1,0
25949,21,20169,0,1,0
71990,56,17163,1,1,0
21150,46,6782,1,1,0
109480,49,23641,1,1,0
120235,41,19792,0,1,0
94740,31,36585,1,1,0
136352,60,31682,1,0,0
86617,31,48864,1,1,0
114841,56,19880,1,2,0
36896,59,39067,1,1,0
145729,60,43685,1,1,0
66175,55,19073,0,2,0
27805,54,37035,1,1,1
25237,44,38174,0,0,0
135247,42,25837,1,1,0
40056,25,18826,1,1,0
65543,53,25981,0,1,1
76556,56,11382,1,2,1
134548,40,5437,0,1,0
131488,39,6435,1,1,0
23343,55,25819,1,1,1
33500,63,37875,0,1,0
73222,37,32982,1,1,0
49375,63,34328,1,1,0
29662,54,13329,1,1,0
36964,29,26169,0,0,1
133429,46,22932,1,1,1
141692,22,35594,1,1,0
79638,29,12421,1,2,0
93666,29,46033,0,0,1
105067,60,8629,0,1,0
138937,37,9325,1,1,0
87215,21,29495,1,2,1
89042,45,32750,1,1,0
33284,63,30619,1,1,0
92789,60,41461,1,2,0
104664,62,9264,1,2,1
113468,45,13686,1,1,0
81389,59,47484,1,1,0
29435,55,25226,1,2,0
74340,23,7721,1,2,1
64078,57,21609,1,2,1
98832,64,8373,1,1,0
71293,64,39675,1,1,0
115981,50,49895,1,1,0
98781,58,29937,1,2,1
80403,54,6656,1,1,0
49124,32,9984,0,1,1
115435,39,30984,1,2,0
63919,57,9286,1,1,1
128761,64,6901,1,2,1
141305,37,32552,1,1,0
55247,30,26709,1,1,1
141172,32,32055,0,1,0
114758,36,38685,1,2,0
111747,44,9429,1,1,0
82752,39,15716,1,1,0
76573,28,49563,1,2,0
79101,51,12138,1,1,0
122756,41,36298,1,1,0
46646,37,24429,1,1,0
124185,43,6772,0,1,0
43049,57,49244,1,1,0
99605,36,49519,1,1,0
118116,26,36732,1,1,0
117379,28,40905,1,1,0
88385,45,18347,0,1,0
146131,38,17920,1,1,0
60158,45,32822,0,1,1
85417,32,47659,1,1,1
43289,35,41108,1,1,0
130226,46,24563,0,1,1
120793,61,8967,1,1,1
29823,46,46183,0,2,1
80160,52,12871,1,1,0
61975,30,29763,1,2,1
29540,36,12916,0,2,0
36364,27,9734,1,1,0
24611,37,34613,0,1,0
47663,43,29179,1,1,0
71991,46,36262,1,2,0
77679,41,13677,1,1,0
124182,42,19268,0,0,0
50977,27,13330,1,1,1
114704,34,21733,1,2,1
69115,35,38947,1,2,0
111007,27,28286,1,1,1
108223,29,7610,1,1,1
80890,28,7430,1,1,1
86387,43,40922,1,1,0
38071,49,14828,1,2,0
79275,38,43913,1,1,1
92369,51,32497,1,1,0
31938,50,40256,0,0,0
55195,59,37618,1,2,0
111680,55,47332,1,2,0
24000,38,27526,1,1,0
90588,62,31158,1,2,0
121042,59,26032,1,1,0
113610,37,38846,0,1,1
140420,34,45936,0,1,1
123691,51,30794,1,0,0
126306,44,6448,1,1,1
117856,55,29861,1,2,0
58304,64,29141,1,0,0
131783,54,10074,1,1,1
89449,23,7406,1,1,1
102986,57,32823,1,1,1
109643,63,24291,0,2,0
40764,60,42568,1,1,1
128940,46,33003,1,1,0
106027,43,47851,0,2,0
58494,64,35406,1,1,0
23373,59,24312,1,1,0
32161,35,44108,1,1,0
117532,24,2382,1,1,1
112658,49,35171,1,2,0
143633,42,42779,1,2,0
120386,45,4292,1,1,0
47350,33,42779,1,2,0
113008,38,34187,0,1,1
114297,53,13411,1,0,0
45351,36,38285,1,1,0
108668,62,16422,1,1,1
134585,64,43468,1,1,0
35305,22,33371,1,1,0
95353,55,6693,1,2,0
96797,62,34535,1,1,0
85953,54,15818,1,1,0
77458,50,32238,1,0,0
127112,33,31874,1,0,1
40358,33,27715,1,1,1
23267,38,28605,1,1,0
102745,52,35317,0,2,0
109588,52,32174,1,1,1
58513,55,10956,1,0,0
46092,59,39908,1,1,0
31338,49,11837,1,1,0
20412,49,4716,1,0,1
27543,64,5481,1,2,0
125891,36,25282,0,1,0
53496,64,7548,1,1,0
80692,30,38605,1,1,1
109084,50,8758,1,1,0
112920,45,44668,0,1,1
143555,59,24177,0,2,0
64425,40,25022,1,1,0
58756,25,41761,1,2,0
38888,21,6542,1,1,0
55735,50,26476,0,2,1
67295,23,31784,1,1,0
137474,34,23740,1,1,1
134352,50,25817,0,1,0
103042,24,48596,0,2,0
105999,38,17052,1,1,0
37955,57,36153,1,0,0
57841,45,48076,1,0,1
90640,21,1671,1,2,0
85510,35,1163,1,1,0
54911,29,42424,0,2,0
79031,35,45002,1,1,0
108726,44,5795,1,1,0
27357,24,11634,1,0,1
52479,32,5798,1,2,0
81476,57,23420,1,1,0
64811,57,30300,1,2,0
56208,63,25345,1,1,1
40150,26,11749,1,1,0
91180,59,39595,1,1,0
63286,44,26121,0,1,0
132856,31,38487,0,2,0
88450,33,29411,1,2,0
41352,54,34361,1,2,0
75069,45,22223,0,2,1
131888,27,8394,1,1,0
130448,24,15056,0,1,1
34397,28,29380,1,2,0
61555,40,27035,1,0,0
66959,49,31620,1,2,0
20728,30,20877,1,2,0
70517,63,44404,1,1,1
139180,54,31911,0,2,0
86234,46,33784,1,1,0
59954,61,4191,1,1,0
67280,23,34160,1,0,1
99459,26,26000,1,1,0
36779,25,40040,0,1,1
83932,25,4631,1,1,0
92936,43,7172,1,2,0
44466,29,43080,1,2,0
56939,55,24561,1,1,0
89896,40,25817,1,1,0
55270,62,21281,1,2,0
79163,55,29671,0,0,1
102637,38,26364,1,0,1
71934,37,42674,1,1,0
84895,44,28425,1,1,0
52307,23,29602,1,1,0
74098,52,24253,1,2,0
80921,55,24472,0,1,0
25486,58,9080,1,1,1
28335,33,8099,1,1,0
106900,45,26431,1,1,0
146020,29,32186,1,1,0
141954,24,48684,1,2,0
122795,34,31111,1,2,0
109112,57,40851,0,1,0
117203,54,23614,1,2,0
31130,31,27724,1,2,0
107508,61,42991,0,2,0
125955,23,5940,0,0,1
138324,48,29758,1,0,0
80566,49,37224,1,1,0
86703,29,8788,1,1,0
47192,23,29082,0,1,0
21062,45,25034,1,1,0
104076,54,36479,1,2,1
109780,32,12280,1,2,0
41545,62,19052,1,2,0
41689,29,17531,1,1,0
31174,35,23804,1,1,0
108461,60,29903,1,1,1
146174,45,45857,1,1,1
123033,25,11142,1,1,0
29348,31,49355,1,1,1
43714,54,10866,1,1,0
58102,44,5531,0,2,1
94460,35,46454,0,1,0
122634,58,39098,0,2,1
109930,28,39278,1,1,1
26801,25,29138,1,1,0
123150,46,28065,0,1,0
92267,38,30956,1,1,1
68136,26,42732,1,1,1
43625,57,40261,1,1,0
102873,33,11759,1,1,0
120843,48,6439,1,1,0
92592,25,48241,0,1,0
97052,33,43533,1,2,0
64261,37,29270,1,1,0
21542,60,14279,1,2,1
41677,52,40279,1,1,0
66732,49,45251,1,2,1
70343,23,24888,0,2,0
59081,60,18630,0,1,0
82856,54,36144,1,1,0
113105,60,32182,1,2,0
108858,47,26538,0,1,0
39065,33,12824,1,1,0
144097,53,33125,1,0,0
103460,26,7979,1,2,0
108092,44,27189,1,2,0
146116,39,43600,1,1,0
74693,36,13504,1,1,1
46962,60,21669,0,1,1
48295,48,7910,1,1,0
33807,53,47857,1,2,0
62348,61,35964,1,1,0
46432,33,21131,1,0,1
103285,63,26227,1,1,0
126995,45,6978,1,2,0
111792,62,22991,1,0,0
77854,56,18153,1,1,0
60262,47,34548,0,1,0
57080,58,43676,1,1,1
21324,27,40071,1,1,0
111267,25,48454,0,1,0
144707,63,4983,1,1,0
55909,51,10503,1,2,0
109339,43,30921,1,2,1
39870,62,17905,1,2,0
54578,30,46838,1,1,1
92124,52,24953,1,2,0
137611,63,27806,1,1,0
123605,50,46000,0,1,1
46790,59,23168,1,0,0
138874,51,5583,1,0,1
45289,38,39714,1,1,0
75129,56,40896,1,1,1
113714,22,12889,1,1,0
114246,34,28413,0,1,0
35485,33,13275,1,1,1
64482,49,3461,1,1,1
106188,32,15291,1,1,1
24748,59,47804,0,2,1
106769,22,12435,0,2,1
29435,52,28935,1,1,0
23709,33,34453,1,1,0
143961,47,19544,1,1,0
50355,61,13258,1,2,0
75771,37,31841,1,1,0
77799,60,49758,1,1,0
33116,51,11736,1,0,0
45470,54,38643,1,1,0
62344,44,44950,0,1,0
62918,55,35964,1,2,0
72224,26,29044,0,1,0
59298,39,40933,1,1,1
128492,50,16997,1,2,0
100219,27,15215,0,2,0
81629,30,34069,1,1,0
86040,61,24911,1,1,0
119518,52,18030,1,1,0
119835,54,30334,1,2,0
48016,48,15571,0,1,0
43960,35,43719,1,2,0
53591,50,29927,1,1,0
102848,57,21714,1,1,1
123333,49,44541,1,0,1
131732,42,24387,1,1,0
134821,24,29444,1,1,0
87641,40,49908,1,1,0
56395,52,20921,1,1,0
131276,56,14057,1,2,1
149695,24,46268,1,1,0
42700,47,25858,1,2,1
54620,37,49689,1,0,0
123214,32,45638,1,1,1
148148,42,27062,1,1,0
40559,37,37850,0,1,1
113045,30,47486,1,2,0
113396,21,21567,0,1,0
81642,42,30739,1,0,0
96539,46,44285,1,1,0
41732,38,4754,0,1,1
148675,34,28044,0,1,1
111362,49,2724,0,2,1
50354,32,2376,1,2,0
33843,56,9706,1,1,1
130008,55,9894,1,1,0
134065,32,19037,1,1,0
91726,27,19450,1,1,0
37640,49,17406,1,1,0
72528,31,30725,1,1,0
58413,53,6926,1,1,0
148142,26,40019,1,1,0
72638,35,10496,1,0,1
72736,52,37068,1,1,0
127892,31,30806,1,1,0
130133,43,23663,1,1,0
126357,46,42321,1,2,0
88866,54,37495,1,0,0
39087,54,23656,1,1,0
61430,49,26860,1,1,0
44504,24,17832,1,2,0
27114,37,39787,1,1,0
98859,55,49231,0,1,1
119657,33,22727,1,1,0
30975,61,43815,1,2,0
31023,59,30545,1,2,1
41447,35,45522,0,1,0
110469,49,3520,0,2,0
145899,49,4081,1,2,1
43959,31,35196,1,2,0
86203,52,37735,1,1,0
139156,22,40213,1,1,0
49703,34,15566,1,1,0
29337,40,15042,1,2,0
66427,42,26498,1,1,0
141507,31,12329,1,1,0
81529,47,32656,1,1,0
122023,23,3159,0,2,0
104665,37,38900,1,2,0
125787,64,20363,1,1,0
51921,48,48701,1,2,0
53307,49,44241,1,1,0
47355,41,20033,0,2,1
123268,36,11805,0,1,0
147016,57,36851,1,1,0
24835,40,27832,0,2,0
40159,26,14944,1,1,0
